Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	IFNG;HLA-DRA;LGALS9;FOXP3;HLA-DRB1
GO_Biological_Process_2021	positive regulation of gamma-delta T cell activation (GO:0046645)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	LEF1;LILRB1;NCKAP1L;NOD2;SOX4
GO_Biological_Process_2021	positive regulation of mast cell chemotaxis (GO:0060754)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	VEGFB;VEGFC;VEGFD;PGF;VEGFA
GO_Biological_Process_2021	positive regulation of neutrophil extravasation (GO:2000391)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	RIPOR2;MDK;ADAM8;CD99;XG
GO_Biological_Process_2021	postsynaptic density protein 95 clustering (GO:0097119)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	NLGN1;NLGN2;NRXN1;LRRC4;NRXN2
GO_Biological_Process_2021	protein localization to microtubule end (GO:1905725)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	MAPRE3;GAS2L1;MAPRE1;GAS2L2;MAPRE2
GO_Biological_Process_2021	protein localization to microtubule plus-end (GO:1904825)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	MAPRE3;GAS2L1;MAPRE1;GAS2L2;MAPRE2
GO_Biological_Process_2021	receptor-mediated virion attachment to host cell (GO:0046813)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	ACE2;LRRC15;CD81;GAS6;ICAM1
GO_Biological_Process_2021	regulation of dendritic cell cytokine production (GO:0002730)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	CLEC7A;KIT;PLCG2;JAK3;SCIMP
GO_Biological_Process_2021	regulation of natural killer cell mediated immunity (GO:0002715)	5/5	4.324015e-02	9.999972e-01	0	0	4.664000e+04	1.464956e+05	NCR1;LEP;SH2D1B;PIK3R6;HLA-E
GO_Biological_Process_2021	negative regulation of chemokine production (GO:0032682)	13/17	4.517890e-02	9.999972e-01	0	0	2.842950e+00	8.804971e+00	IL10;GSTP1;KLF4;MEFV;LILRB4;OAS1;OAS3;F2RL1;SIRPA;APOD;LGALS9;ELANE;MAP2K5
GO_Biological_Process_2021	positive regulation of heart rate (GO:0010460)	13/17	4.517890e-02	9.999972e-01	0	0	2.842950e+00	8.804971e+00	RYR2;EDN1;EDN3;PDE4D;TPM1;ATP2A2;ADM;ADRA1D;ADRB1;ADRA1B;ADRA1A;KCNQ1;SCN3B
GO_Biological_Process_2021	regulation of epidermal cell differentiation (GO:0045604)	18/25	4.574245e-02	9.999972e-01	0	0	2.249698e+00	6.939709e+00	ERRFI1;SERPINB13;CBFB;ROCK1;KDF1;CTSV;ABCA12;AQP3;DLL1;SGPP1;BMP4;SULT2B1;KLF7;SFRP4;ZFP36;CTSK;MAFF;SFN
GO_Biological_Process_2021	positive regulation of B cell proliferation (GO:0030890)	21/30	4.839915e-02	9.999972e-01	0	0	2.041530e+00	6.182309e+00	IL21;SASH3;CHRNB2;CD74;CD40;MEF2C;TFRC;CD81;FCRL3;NFATC2;IRS2;TNFRSF13C;IL2;TNFSF13B;BST1;PTPRC;IL7;GPR183;CD38;NCKAP1L;EPHB2
