query,_id,_score,symbol,notfound
115350,115350,27.650805,FCRL1,
55243,55243,26.337494,KIRREL1,
100505785,100505785,27.651525,KIRREL1-IT1,
646268,646268,27.651525,LINC01704,
912,912,26.335646,CD1D,
909,909,26.335646,CD1A,
910,910,26.338165,CD1B,
913,913,26.859509,CD1E,
4332,4332,26.85963,MNDA,
149628,149628,26.859509,PYHIN1,
105371461,,,,True
9447,9447,26.859694,AIM2,
57863,57863,26.859694,CADM3,
100131825,100131825,27.651474,CADM3-AS1,
2532,2532,26.859694,ACKR1,
101928264,101928264,27.651474,LOC101928264,
54935,54935,26.858898,DUSP23,
105371464,105371464,27.650675,LOC105371464,
343413,343413,27.650675,FCRL6,
107985217,,,,True
56833,56833,26.859749,SLAMF8,
284677,284677,27.651525,SNHG28,
89886,89886,26.85963,SLAMF9,
100505633,100505633,27.651525,LINC01133,
3766,3766,26.85963,KCNJ10,
477,477,26.338097,ATP1A2,
844,844,26.858898,CASQ1,
100287049,100287049,27.650805,DCAF8-DT,
1314,1314,26.859509,COPA,
57216,57216,26.337494,VANGL2,
114836,114836,26.859024,SLAMF6,
8832,8832,26.859509,CD84,
6504,6504,26.85718,SLAMF1,
107985220,107985220,27.64896,LOC107985220,
962,962,26.859749,CD48,
57823,57823,26.85718,SLAMF7,
105371470,105371470,27.64896,LOC105371470,
4063,4063,26.85963,LY9,
51744,51744,26.85963,CD244,
257106,257106,27.651411,ARHGAP30,
112543491,112543491,27.651474,LOC112543491,
4359,4359,26.859694,MPZ,
2214,2214,26.85963,FCGR3A,
2215,2215,26.859509,FCGR3B,
84824,84824,27.650805,FCRLA,
105371475,105371475,27.651474,LOC105371475,
400793,400793,27.650805,C1orf226,
117157,117157,26.859509,SH2D1B,
127933,127933,27.651289,UHMK1,
4921,4921,26.859509,DDR2,
83540,83540,27.64896,NUF2,
4009,4009,27.650805,LMX1A,
6258,6258,26.337494,RXRG,
4259,4259,26.337494,MGST3,
105371590,105371590,27.650805,LINC01675,
10223,10223,27.651474,GPA33,
92235,92235,27.651474,STYXL2,
919,919,26.338215,CD247,
92241,92241,27.650805,RCSD1,
23432,23432,26.337494,GPR161,
84832,84832,8.919615,ANKRD36BP1,
6846,6846,25.947956,XCL2,
6375,6375,26.337978,XCL1,
1805,1805,26.859509,DPT,
2153,2153,26.858898,F5,
107985745,107985745,27.651525,LOC107985745,
6402,6402,26.859749,SELL,
5396,5396,27.651474,PRRX1,
2327,2327,26.859694,FMO2,
4653,4653,27.650675,MYOC,
406996,406996,27.651411,MIR214,
100422882,100422882,27.64896,MIR3120,
356,356,26.338097,FASLG,
8995,8995,26.859509,TNFSF18,
7292,7292,26.859509,TNFSF4,
100506023,,,,True
91687,91687,27.650675,CENPL,
55157,55157,26.859749,DARS2,
100506046,100506046,27.651525,GAS5-AS1,
692198,692198,27.64896,SNORD78,
106635533,106635533,27.650675,SNORA103,
692197,692197,27.64896,SNORD77,
692196,692196,27.64896,SNORD76,
9910,9910,26.858898,RABGAP1L,
9674,9674,27.651289,KIAA0040,
7143,7143,26.337978,TNR,
460,460,27.651525,ASTN1,
57795,57795,27.651525,BRINP2,
105371630,105371630,27.651525,LOC105371630,
105371629,105371629,27.651411,LOC105371629,
400798,400798,27.651411,C1orf220,
105371632,105371632,27.651411,LOC105371632,
646976,646976,27.651411,RALGPS2-AS1,
55103,55103,27.651411,RALGPS2,
6646,6646,26.859509,SOAT1,
148753,148753,27.651289,FAM163A,
9857,9857,27.650675,CEP350,
5768,5768,26.858898,QSOX1,
89884,89884,27.651474,LHX4,
777,777,26.859694,CACNA1E,
127670,127670,27.650675,TEDDM1,
80896,80896,26.859694,NPL,
647070,647070,27.650675,DHX9-AS1,
110841583,110841583,27.650675,LAMC1-AS1,
3918,3918,26.338165,LAMC2,
23057,23057,26.337494,NMNAT2,
284649,284649,27.650805,SMG7-AS1,
81563,81563,27.64896,C1orf21,
107985236,107985236,27.64896,LOC107985236,
105371648,105371648,27.650805,LOC105371648,
105371654,105371654,27.651474,LOC105371654,
10216,10216,26.859749,PRG4,
5132,5132,27.651525,PDC,
64407,64407,26.859749,RGS18,
5996,5996,26.859749,RGS1,
6003,6003,27.651525,RGS13,
5997,5997,26.859749,RGS2,
101929160,,,,True
10877,10877,26.85963,CFHR4,
105371675,105371675,27.651289,LOC105371675,
259266,259266,27.651289,ASPM,
163486,163486,26.859694,DENND1B,
56956,56956,27.651289,LHX9,
5788,5788,26.337494,PTPRC,
23528,23528,27.650805,ZNF281,
9928,9928,26.85963,KIF14,
2848,2848,26.859024,GPR25,
107985245,,,,True
55765,55765,27.64896,INAVA,
23046,23046,26.85718,KIF21B,
252839,252839,27.64896,TMEM9,
5317,5317,26.85963,PKP1,
7139,7139,26.85963,TNNT2,
3898,3898,27.651411,LAD1,
7135,7135,26.85963,TNNI1,
23612,23612,27.651289,PHLDA3,
1465,1465,26.858898,CSRP1,
149345,149345,27.651289,SHISA4,
25802,25802,27.650675,LMOD1,
112268254,,,,True
1999,1999,26.858898,ELF3,
9283,9283,26.858898,GPR37L1,
5778,5778,26.337494,PTPN7,
59352,59352,26.337494,LGR6,
29089,29089,26.859024,UBE2T,
100506696,100506696,27.650805,PCAT6,
641515,641515,8.919615,MGAT4EP,
148709,148709,8.919615,ACTG1P25,
59349,59349,26.337366,KLHL12,
8497,8497,27.650675,PPFIA4,
134,134,26.85718,ADORA1,
1118,1118,26.859694,CHIT1,
2331,2331,26.859749,FMOD,
102723529,102723529,27.64896,LOC102723529,
5549,5549,26.859694,PRELP,
102723543,102723543,27.651289,LOC102723543,
54900,54900,27.651525,LAX1,
100381270,100381270,27.64896,ZBED6,
105371689,105371689,27.651474,LOC105371689,
284573,284573,27.651411,LINC00303,
127845,127845,26.859509,GOLT1A,
100189122,100189122,27.651525,TRK-TTT3-1,
105371692,105371692,27.64896,LRRN2-AS1,
105371693,105371693,27.651474,LOC105371693,
23114,23114,26.85963,NFASC,
81788,81788,27.651289,NUAK2,
55220,55220,27.651289,KLHDC8A,
93273,93273,27.651289,LEMD1,
284578,284578,27.651525,SLC60A1-AS1,
2005,2005,27.651474,ELK4,
115019,115019,26.858898,SLC26A9,
103021296,103021296,27.651474,SLC26A9-AS1,
1510,1510,26.859749,CTSE,
105372857,105372857,27.651525,LOC105372857,
729533,729533,26.859694,RUMY1,
9641,9641,26.337366,IKBKE,
83593,83593,27.650675,RASSF5,
8444,8444,26.859024,DYRK3,
105372877,,,,True
3586,3586,25.947956,IL10,
29949,29949,26.859749,IL19,
11009,11009,26.859749,IL24,
9214,9214,27.651525,FCMR,
83953,83953,27.651289,FCAMR,
79098,79098,26.859024,C1orf116,
725,725,26.85963,C4BPB,
722,722,26.859509,C4BPA,
1604,1604,26.859694,CD55,
1380,1380,26.859509,CR2,
1378,1378,26.859509,CR1,
1379,1379,27.651289,CR1L,
100128537,100128537,27.651411,MIR29B2CHG,
407026,407026,27.651474,MIR29C,
407025,407025,27.651411,MIR29B2,
947,947,26.859694,CD34,
107985253,107985253,27.651474,LOC107985253,
105372883,105372883,27.650805,LINC02767,
105372884,105372884,27.651411,LOC105372884,
107985255,107985255,27.651411,LOC107985255,
105372895,105372895,27.651411,LOC105372895,
642587,642587,27.650675,MIR205HG,
406988,406988,27.650675,MIR205,
105372898,105372898,27.650805,LOC105372898,
3914,3914,26.85718,LAMB3,
100422894,100422894,27.64896,MIR4260,
101930114,101930114,27.650675,HSD11B1-AS1,
50486,50486,26.337494,G0S2,
3290,3290,26.859024,HSD11B1,
80342,80342,27.650805,TRAF3IP3,
148304,148304,27.651474,C1orf74,
